SampleID	SampleName	BarcodePair	MarkerID	numRead	ReadFile
005-1_S1	005-1_S1	NA	msp1	40372	output/processedReads/005-1_S1_L001_msp1_NGmerge.fastq.gz
005-2_S2	005-2_S2	NA	csp	41527	output/processedReads/005-2_S2_L001_csp_NGmerge.fastq.gz
006-1_S3	006-1_S3	NA	msp1	42351	output/processedReads/006-1_S3_L001_msp1_NGmerge.fastq.gz
006-2_S4	006-2_S4	NA	csp	38656	output/processedReads/006-2_S4_L001_csp_NGmerge.fastq.gz
010-1_S5	010-1_S5	NA	msp1	42972	output/processedReads/010-1_S5_L001_msp1_NGmerge.fastq.gz
010-2_S6	010-2_S6	NA	csp	45182	output/processedReads/010-2_S6_L001_csp_NGmerge.fastq.gz
011-1_S7	011-1_S7	NA	msp1	44301	output/processedReads/011-1_S7_L001_msp1_NGmerge.fastq.gz
011-2_S8	011-2_S8	NA	csp	43471	output/processedReads/011-2_S8_L001_csp_NGmerge.fastq.gz
012-1_S9	012-1_S9	NA	msp1	43469	output/processedReads/012-1_S9_L001_msp1_NGmerge.fastq.gz
012-2_S10	012-2_S10	NA	csp	43917	output/processedReads/012-2_S10_L001_csp_NGmerge.fastq.gz
017-1_S1	017-1_S1	NA	msp1	49214	output/processedReads/017-1_S1_L001_msp1_NGmerge.fastq.gz
017-2_S11	017-2_S11	NA	csp	44721	output/processedReads/017-2_S11_L001_csp_NGmerge.fastq.gz
018-1_S2	018-1_S2	NA	msp1	51046	output/processedReads/018-1_S2_L001_msp1_NGmerge.fastq.gz
018-2_S12	018-2_S12	NA	csp	43292	output/processedReads/018-2_S12_L001_csp_NGmerge.fastq.gz
019-1_S3	019-1_S3	NA	msp1	54802	output/processedReads/019-1_S3_L001_msp1_NGmerge.fastq.gz
019-2_S13	019-2_S13	NA	csp	44094	output/processedReads/019-2_S13_L001_csp_NGmerge.fastq.gz
020-1_S4	020-1_S4	NA	msp1	83328	output/processedReads/020-1_S4_L001_msp1_NGmerge.fastq.gz
020-2_S14	020-2_S14	NA	csp	43737	output/processedReads/020-2_S14_L001_csp_NGmerge.fastq.gz
021-1_S5	021-1_S5	NA	msp1	47352	output/processedReads/021-1_S5_L001_msp1_NGmerge.fastq.gz
021-2_S15	021-2_S15	NA	csp	45387	output/processedReads/021-2_S15_L001_csp_NGmerge.fastq.gz
022-1_S6	022-1_S6	NA	msp1	50961	output/processedReads/022-1_S6_L001_msp1_NGmerge.fastq.gz
022-2_S16	022-2_S16	NA	csp	44882	output/processedReads/022-2_S16_L001_csp_NGmerge.fastq.gz
023-1_S7	023-1_S7	NA	msp1	49464	output/processedReads/023-1_S7_L001_msp1_NGmerge.fastq.gz
023-2_S17	023-2_S17	NA	csp	43048	output/processedReads/023-2_S17_L001_csp_NGmerge.fastq.gz
024-1_S18	024-1_S18	NA	msp1	38334	output/processedReads/024-1_S18_L001_msp1_NGmerge.fastq.gz
024-2_S19	024-2_S19	NA	csp	46786	output/processedReads/024-2_S19_L001_csp_NGmerge.fastq.gz
025-1_S20	025-1_S20	NA	msp1	40595	output/processedReads/025-1_S20_L001_msp1_NGmerge.fastq.gz
