"SampleID"	"SampleName"	"BarcodePair"	"MarkerID"	"numRead"	"ReadFile"
"005-1_S1"	"005-1_S1"	NA	"msp1"	40555	"output/processedReads/005-1_S1_L001_msp1_bind220_220.fastq.gz"
"006-1_S3"	"006-1_S3"	NA	"msp1"	42483	"output/processedReads/006-1_S3_L001_msp1_bind220_220.fastq.gz"
"010-1_S5"	"010-1_S5"	NA	"msp1"	43100	"output/processedReads/010-1_S5_L001_msp1_bind220_220.fastq.gz"
"011-1_S7"	"011-1_S7"	NA	"msp1"	44698	"output/processedReads/011-1_S7_L001_msp1_bind220_220.fastq.gz"
"012-1_S9"	"012-1_S9"	NA	"msp1"	43639	"output/processedReads/012-1_S9_L001_msp1_bind220_220.fastq.gz"
"017-1_S1"	"017-1_S1"	NA	"msp1"	49594	"output/processedReads/017-1_S1_L001_msp1_bind220_220.fastq.gz"
"018-1_S2"	"018-1_S2"	NA	"msp1"	53127	"output/processedReads/018-1_S2_L001_msp1_bind220_220.fastq.gz"
"019-1_S3"	"019-1_S3"	NA	"msp1"	55321	"output/processedReads/019-1_S3_L001_msp1_bind220_220.fastq.gz"
"020-1_S4"	"020-1_S4"	NA	"msp1"	83540	"output/processedReads/020-1_S4_L001_msp1_bind220_220.fastq.gz"
"021-1_S5"	"021-1_S5"	NA	"msp1"	48050	"output/processedReads/021-1_S5_L001_msp1_bind220_220.fastq.gz"
"022-1_S6"	"022-1_S6"	NA	"msp1"	51509	"output/processedReads/022-1_S6_L001_msp1_bind220_220.fastq.gz"
"023-1_S7"	"023-1_S7"	NA	"msp1"	50188	"output/processedReads/023-1_S7_L001_msp1_bind220_220.fastq.gz"
"024-1_S18"	"024-1_S18"	NA	"msp1"	39136	"output/processedReads/024-1_S18_L001_msp1_bind220_220.fastq.gz"
"025-1_S20"	"025-1_S20"	NA	"msp1"	41592	"output/processedReads/025-1_S20_L001_msp1_bind220_220.fastq.gz"
"027-1_S22"	"027-1_S22"	NA	"msp1"	34897	"output/processedReads/027-1_S22_L001_msp1_bind220_220.fastq.gz"
"029-1_S24"	"029-1_S24"	NA	"msp1"	43454	"output/processedReads/029-1_S24_L001_msp1_bind220_220.fastq.gz"
